********************************************************************************
product = Open Liberty 20.0.0.11 (wlp-1.0.46.cl201120201014-1215)
wlp.install.dir = C:/Users/Józek/IdeaProjects/film-database/target/liberty/wlp/
java.home = C:\Program Files\Java\jdk-11.0.8
java.version = 11.0.8
java.runtime = Java(TM) SE Runtime Environment (11.0.8+10-LTS)
os = Windows 10 (10.0; amd64) (en_GB)
process = 13160@LAPTOP-STG78NFK
********************************************************************************
[05/11/2020, 16:46:52:062 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.GAE_JSF_JAR_FILES' found.
[05/11/2020, 16:46:52:062 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.GAE_JSF_ANNOTATIONS_JAR_FILES' found.
[05/11/2020, 16:46:52:062 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.STRICT_JSF_2_VIEW_NOT_FOUND' found, using default value 'false'.
[05/11/2020, 16:46:52:062 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.EARLY_FLUSH_ENABLED' found, using default value 'false'.
[05/11/2020, 16:46:52:062 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.STRICT_JSF_2_FACELETS_COMPATIBILITY' found, using default value 'false'.
[05/11/2020, 16:46:52:063 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.RENDER_FORM_VIEW_STATE_AT_BEGIN' found, using default value 'false'.
[05/11/2020, 16:46:52:063 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.FLASH_SCOPE_DISABLED' found, using default value 'false'.
[05/11/2020, 16:46:52:063 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.NUMBER_OF_VIEWS_IN_SESSION' found, using default value '20'.
[05/11/2020, 16:46:52:063 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.NUMBER_OF_SEQUENTIAL_VIEWS_IN_SESSION' found, using default value '4'.
[05/11/2020, 16:46:52:063 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.NUMBER_OF_FLASH_TOKENS_IN_SESSION' found.
[05/11/2020, 16:46:52:063 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.FACES_FLOW_CLIENT_WINDOW_IDS_IN_SESSION' found.
[05/11/2020, 16:46:52:063 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.SUPPORT_EL_3_IMPORT_HANDLER' found, using default value 'false'.
[05/11/2020, 16:46:52:063 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.STRICT_JSF_2_ORIGIN_HEADER_APP_PATH' found, using default value 'false'.
[05/11/2020, 16:46:52:063 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.ALWAYS_FORCE_SESSION_CREATION' found, using default value 'true'.
[05/11/2020, 16:46:52:063 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.RESOURCE_MAX_TIME_EXPIRES' found, using default value '604800000'.
[05/11/2020, 16:46:52:064 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.RESOURCE_HANDLER_CACHE_SIZE' found, using default value '500'.
[05/11/2020, 16:46:52:064 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.RESOURCE_HANDLER_CACHE_ENABLED' found, using default value 'true'.
[05/11/2020, 16:46:52:064 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.USE_ENCRYPTION' found, using default value 'true'.
[05/11/2020, 16:46:52:064 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.SECRET' found.
